,station_index,start,end,direction,duration,scene,slope,scene_score,max_nf_score,min_nf_score,full_station_score,all_stations_index,scene_end_time,scene_start_time,scene_end_frame,scene_start_frame
0,0,50,61,decreasing,11,3.0,-0.04132801507629926,0.5571428571428572,0.9999999999004608,-0.9999999998978233,0.5571428571428572,4,72.01,33.91,2158.0,1017.0
1,1,140,150,decreasing,10,5.0,-0.032348083374002606,0.5339285714285714,0.9999999997883191,-0.9999999997952798,0.5535714285714286,14,261.79,99.17,7846.0,2973.0
2,2,153,173,decreasing,20,5.0,-0.03245365022658084,0.5339285714285714,0.9999999997883191,-0.9999999997952798,0.39107142857142857,16,261.79,99.17,7846.0,2973.0
3,3,213,231,decreasing,19,5.0,-0.05866139801001864,0.5339285714285714,0.9999999997883191,-0.9999999997952798,0.6017857142857143,20,261.79,99.17,7846.0,2973.0
4,4,232,250,increasing,18,5.0,0.06333545352299676,0.5339285714285714,0.9999999997883191,-0.9999999997952798,0.5125,21,261.79,99.17,7846.0,2973.0
5,5,292,303,decreasing,12,9.0,-0.0615314091966653,0.5857142857142856,0.9999999998997834,-0.9999999999039809,0.6053571428571429,26,336.205,292.063,10076.0,8754.0
6,6,304,313,increasing,10,9.0,0.06801008581437375,0.5857142857142856,0.9999999998997834,-0.9999999999039809,0.5999999999999999,27,336.205,292.063,10076.0,8754.0
7,7,314,323,decreasing,10,9.0,-0.04785436429429764,0.5857142857142856,0.9999999998997834,-0.9999999999039809,0.5125,28,336.205,292.063,10076.0,8754.0
8,8,497,507,decreasing,11,17.0,-0.07601319645837983,0.7089285714285715,0.9999999999367487,-0.9999999999402214,0.7089285714285715,54,510.01,478.18,15303.0,14332.0
9,9,537,550,increasing,14,18.0,0.052127865395311876,0.5839285714285715,0.9999999996606801,-0.9999999997715148,0.5107142857142858,59,649.32,510.01,19460.0,15304.0
10,10,570,588,decreasing,18,18.0,-0.04961215355546128,0.5839285714285715,0.9999999996606801,-0.9999999997715148,0.44642857142857145,64,649.32,510.01,19460.0,15304.0
11,11,589,599,increasing,11,18.0,0.06158649731405739,0.5839285714285715,0.9999999996606801,-0.9999999997715148,0.49821428571428567,65,649.32,510.01,19460.0,15304.0
12,12,605,614,increasing,10,18.0,0.0807544635135786,0.5839285714285715,0.9999999996606801,-0.9999999997715148,0.7107142857142856,67,649.32,510.01,19460.0,15304.0
13,13,621,633,increasing,13,18.0,0.06460605044691693,0.5839285714285715,0.9999999996606801,-0.9999999997715148,0.6660714285714285,69,649.32,510.01,19460.0,15304.0
14,14,634,647,decreasing,14,18.0,-0.04851170201389994,0.5839285714285715,0.9999999996606801,-0.9999999997715148,0.5428571428571429,70,649.32,510.01,19460.0,15304.0
15,15,695,710,increasing,16,21.0,0.05323138060006523,0.6392857142857142,0.9999999998589205,-0.9999999998603532,0.5839285714285714,75,820.257,686.323,24583.0,20570.0
16,16,727,737,increasing,11,21.0,0.07099224742580118,0.6392857142857142,0.9999999998589205,-0.9999999998603532,0.6571428571428571,77,820.257,686.323,24583.0,20570.0
17,17,738,752,decreasing,15,21.0,-0.041481237938797155,0.6392857142857142,0.9999999998589205,-0.9999999998603532,0.5821428571428572,78,820.257,686.323,24583.0,20570.0
18,18,798,811,increasing,14,21.0,0.04075660758175498,0.6392857142857142,0.9999999998589205,-0.9999999998603532,0.4875,89,820.257,686.323,24583.0,20570.0
19,19,868,884,increasing,16,23.0,0.035742551733135834,0.6214285714285713,0.9999999998761692,-0.9999999998603485,0.5928571428571427,97,954.491,860.197,28606.0,25781.0
20,20,944,954,decreasing,11,23.0,-0.08516744411609804,0.6214285714285713,0.9999999998761692,-0.9999999998603485,0.5410714285714285,108,954.491,860.197,28606.0,25781.0
21,21,955,969,increasing,15,24.0,0.033831469554711745,0.6089285714285714,0.9999999999168401,-0.9999999999238303,0.6089285714285714,109,1023.0,954.491,30659.0,28607.0
